Date,Time,BMS- Power,MPSA- Ouput P,Load MFM- Active Power,BMS- State of Charge,DG MFM- Active Power,Irradiation,Solar MFM- Active Power
10-11-2024,06:11:01,0,0,0,8,11.4,0.8,-0.1
10-11-2024,06:11:31,0,0,0,8,11.4,0.7,-0.1
10-11-2024,06:12:01,0,0,0,8,11,0.8,-0.1
10-11-2024,06:12:31,0,0,0,8,11,0.8,-0.1
10-11-2024,06:13:01,0,0,0,8,11,0.7,-0.1
10-11-2024,06:13:31,0,0,0,8,11,0.7,-0.1
10-11-2024,06:14:01,0,0,0,8,10.9,0.8,-0.1
10-11-2024,06:14:31,0,0,0,8,11,0.7,-0.1
10-11-2024,06:15:01,0,0,0,8,10.9,0.9,-0.1
10-11-2024,06:15:31,0,0,0,8,11,0.9,-0.1
10-11-2024,06:16:01,0,0,0,8,10.9,0.8,-0.1
10-11-2024,06:16:31,0,0,0,8,10.9,0.8,-0.1
10-11-2024,06:17:01,0,0,0,8,11,0.8,-0.1
10-11-2024,06:17:31,0,0,0,8,11,0.8,-0.1
10-11-2024,06:18:01,0,0,0,8,10.9,0.9,-0.1
10-11-2024,06:18:31,0,0,0,8,10.9,0.8,-0.1
10-11-2024,06:19:01,0,0,0,8,11,0.9,-0.1
10-11-2024,06:19:31,0,0,0,8,11,0.9,-0.1
10-11-2024,06:20:01,0,0,0,8,10.9,0.9,-0.1
10-11-2024,06:20:31,0,0,0,8,10.9,0.9,-0.1
10-11-2024,06:21:01,0,0,0,8,12.1,1,-0.1
10-11-2024,06:21:31,0,0,0,8,12.1,1,-0.1
10-11-2024,06:22:01,0,0,0,8,12.9,1.1,-0.1
10-11-2024,06:22:31,0,0,0,8,12.8,1,-0.1
10-11-2024,06:23:01,0,0,0,8,12.8,1.2,-0.1
10-11-2024,06:23:31,0,0,0,8,12.8,1.2,-0.1
10-11-2024,06:24:01,0,0,0,8,12.8,1.2,-0.1
10-11-2024,06:24:31,0,0,0,8,12.7,1.2,-0.1
10-11-2024,06:25:01,0,0,0,8,12.8,1.1,-0.1
10-11-2024,06:25:31,0,0,0,8,12.8,1.2,-0.1
10-11-2024,06:26:01,0,0,0,8,12.7,1.3,-0.1
10-11-2024,06:26:31,0,0,0,8,12.7,1.3,-0.1
10-11-2024,06:27:01,0,0,0,8,11,1.5,-0.1
10-11-2024,06:27:31,0,0,0,8,11,1.5,-0.1
10-11-2024,06:28:01,0,0,0,8,11,1.7,-0.1
10-11-2024,06:28:31,0,0,0,8,11,1.7,-0.1
10-11-2024,06:29:01,0,0,0,8,11,1.9,-0.1
10-11-2024,06:29:31,0,0,0,8,11,1.8,-0.1
10-11-2024,06:30:01,0,0,0,8,11,2.2,-0.1
10-11-2024,06:30:31,0,0,0,8,11,2.2,-0.1
10-11-2024,06:31:01,0,0,0,8,11,2.2,-0.1
10-11-2024,06:31:31,0,0,0,8,11,2.2,-0.1
10-11-2024,06:32:01,0,0,0,8,11,2.5,-0.1
10-11-2024,06:32:31,0,0,0,8,11,2.5,-0.1
10-11-2024,06:33:01,0,0,0,8,11,2.8,-0.1
10-11-2024,06:33:31,0,0,0,8,11,2.8,-0.1
10-11-2024,06:34:01,0,0,0,8,11,3,-0.1
10-11-2024,06:34:31,0,0,0,8,11,3,-0.1
10-11-2024,06:35:01,0,0,0,8,10.9,3.2,-0.1
10-11-2024,06:35:31,0,0,0,8,10.9,3.2,-0.1
10-11-2024,06:36:01,0,0,0,8,11,3.7,-0.1
10-11-2024,06:36:31,0,0,0,8,11,3.7,-0.1
10-11-2024,06:37:01,0,0,0,8,10.9,3.9,-0.1
10-11-2024,06:37:31,0,0,0,8,10.9,3.9,-0.1
10-11-2024,06:38:01,0,0,0,8,11,4.4,-0.1
10-11-2024,06:38:31,0,0,0,8,11,4.4,-0.1
10-11-2024,06:39:01,0,0,0,8,11,4.8,-0.1
10-11-2024,06:39:31,0,0,0,8,11,4.8,-0.1
10-11-2024,06:40:01,0,0,0,8,10.9,5.5,-0.1
10-11-2024,06:40:31,0,0,0,8,11,5.5,-0.1
10-11-2024,06:41:01,0,0,0,8,10.9,6,-0.1
10-11-2024,06:41:31,0,0,0,8,10.9,6,-0.1
10-11-2024,06:42:01,0,0,0,8,12.9,6.9,-0.1
10-11-2024,06:42:31,0,0,0,8,12.9,6.9,-0.1
10-11-2024,06:43:01,0,0,0,8,12.8,7.6,-0.1
10-11-2024,06:43:31,0,0,0,8,12.8,7.6,-0.1
10-11-2024,06:44:01,0,0,0,8,12.7,8.5,-0.1
10-11-2024,06:44:31,0,0,0,8,12.7,8.5,-0.1
10-11-2024,06:45:01,0,0,0,8,12.8,9.4,-0.1
10-11-2024,06:45:31,0,0,0,8,12.8,9.4,-0.1
10-11-2024,06:46:01,0,0,0,8,12.7,11.1,-0.1
10-11-2024,06:46:31,0,0,0,8,12.7,11.1,-0.1
10-11-2024,06:47:01,0,0,0,8,11,12.1,-0.1
10-11-2024,06:47:31,0,0,0,8,11,12.1,-0.1
10-11-2024,06:48:01,0,0,0,8,11,13.3,-0.1
10-11-2024,06:48:31,0,0,0,8,11,13.3,-0.1
10-11-2024,06:49:01,0,0,0,8,10.9,14.3,-0.1
10-11-2024,06:49:31,0,0,0,8,10.9,14.3,-0.1
10-11-2024,06:50:01,0,0,0,8,11,16.1,-0.1
10-11-2024,06:50:31,0,0,0,8,11,16.1,-0.1
10-11-2024,06:51:01,0,0,0,8,10.9,17.5,-0.1
10-11-2024,06:51:31,0,0,0,8,10.9,17.5,-0.1
10-11-2024,06:52:01,0,0,0,8,11,18.8,-0.1
10-11-2024,06:52:31,0,0,0,8,11,18.8,-0.1
10-11-2024,06:53:01,0,0,0,8,11,20.3,-0.1
10-11-2024,06:53:31,0,0,0,8,11,20.3,-0.1
10-11-2024,06:54:01,0,0,0,8,11,21.4,-0.1
10-11-2024,06:54:31,0,0,0,8,11,21.4,-0.1
10-11-2024,06:55:01,0,0,0,8,11,22.3,-0.1
10-11-2024,06:55:31,0,0,0,8,11,22.3,-0.1
10-11-2024,06:56:01,0,0,0,8,11,23.3,-0.1
10-11-2024,06:56:31,0,0,0,8,11,23.3,-0.1
10-11-2024,06:57:01,0,0,0,8,11,24.8,-0.1
10-11-2024,06:57:31,0,0,0,8,11,24.8,-0.1
10-11-2024,06:58:01,0,0,0,8,11.1,26.4,-0.1
